CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PAT,Equity,Reserves,EPS,NPM
16560024.000000,2023-12-31,12,4,83144000.0,70449000.0,12695000.0,281000.0,9348000.0,0.0,3066000.0,92000.0,2974000.0,35647000.0,0.0,0.08342918057620557,3.57692688703537
13100005.000000,2023-12-31,12,4,2469000.0,1401000.0,1068000.0,534000.0,0.0,0.0,534000.0,-7506000.0,8040000.0,70842000.0,0.0,0.11349199627339714,325.63791275024414
12540092.000000,2023-12-31,12,4,1178000.0,2103000.0,-925000.0,0.0,21000.0,0.0,-946000.0,0.0,-946000.0,58900000.0,0.0,-0.016061120543293717,-80.3056001663208
14090139.000000,2023-12-31,12,4,8285000.0,8601000.0,-316000.0,0.0,0.0,0.0,-316000.0,6000.0,-322000.0,32024000.0,0.0,-0.010054958780914315,-3.886542096734047
16560035.000000,2023-12-31,12,4,1150728000.0,939771000.0,210957000.0,9660000.0,84256000.0,-31800000.0,85241000.0,2126000.0,83115000.0,631579008.0,0.0,0.13159873736652122,7.2228193283081055
12540100.000000,2023-12-31,12,4,719130800.0,583047500.0,136083300.0,178500.0,21525500.0,-724000.0,113655304.0,22557000.0,91098296.0,35726000.0,0.0,2.5499159155796898,12.667833268642426
15210578.000000,2023-12-31,12,4,588386000.0,1757997000.0,-1169611000.0,429401000.0,41164000.0,-592109000.0,-2232285000.0,-10880000.0,-2221405000.0,1861960960.0,0.0,-1.1930459207909494,-377.5421142578125
17027967.000000,2023-12-31,12,4,2412281900.0,1752548100.0,659734000.0,250845000.0,96764000.0,-2476112000.0,-2163987000.0,93916000.0,-2257903000.0,326092992.0,0.0,-6.924108028669319,-93.6003029346466
14090057.000000,2023-12-31,12,4,105000000.0,42800000.0,62200000.0,74800000.0,700000.0,0.0,-14300000.0,-10500000.0,-3800000.0,240000000.0,0.0,-0.015833333333333335,-3.619047626852989
14540001.000000,2023-12-31,12,4,342234020.0,103683000.0,238550990.0,79000.0,10842000.0,0.0,227629980.0,48338000.0,179292000.0,59665000.0,0.0,3.0049777926757733,52.388715744018555
17023986.000000,2023-12-31,12,4,3171929000.0,2948983000.0,222946000.0,92281000.0,31679000.0,0.0,98986000.0,36161000.0,62825000.0,952070016.0,0.0,0.06598779390611541,1.9806558266282082
17020011.000000,2023-12-31,12,4,2657000.0,5562000.0,-2905000.0,0.0,198000.0,0.0,-3103000.0,62000.0,-3165000.0,5000000.0,0.0,-0.633,-119.11931037902832
16490248.000000,2023-12-31,12,4,1041097860.0,1220220200.0,-179122300.0,13439100.0,48792900.0,403001000.0,161646720.0,0.0,161646720.0,64993000.0,0.0,2.4871404612804455,15.526562929153442
15540014.000000,2023-12-31,12,4,68979000.0,75505000.0,-6526000.0,0.0,324000.0,0.0,-6850000.0,2000.0,-6852000.0,19000000.0,0.0,-0.3606315789473684,-9.933458268642426
15520014.000000,2023-12-31,12,4,35000.0,1833000.0,-1798000.0,0.0,0.0,-30000.0,-1828000.0,0.0,-1828000.0,10000000.0,0.0,-0.1828,-5222.857284545898
14094449.000000,2023-12-31,12,4,19207000.0,12983000.0,6224000.0,0.0,18000.0,0.0,8474000.0,352000.0,8122000.0,75000000.0,0.0,0.10829333333333334,42.286667227745056
15050038.000000,2023-12-31,12,4,375955000.0,371454000.0,4501000.0,11479000.0,8013000.0,0.0,-14991000.0,967000.0,-15958000.0,106958000.0,0.0,-0.14919875091157278,-4.2446568608284
13520154.000000,2023-12-31,12,4,6601000.0,6855000.0,-254000.0,990000.0,38000.0,-53523000.0,-54805000.0,168000.0,-54973000.0,2490000.0,0.0,-22.077510040160643,-832.7980995178223
12520107.000000,2023-12-31,12,4,324341000.0,316708000.0,7633000.0,15083000.0,34966000.0,0.0,-42416000.0,-835000.0,-41581000.0,50406000.0,0.0,-0.8249216363131373,-12.820149958133698
12070026.000000,2023-12-31,12,4,172517000.0,142116200.0,30400800.0,15400.0,179268200.0,0.0,-148882800.0,-17007500.0,-131875310.0,265705408.0,0.0,-0.4963215201099708,-76.44192576408386
16610195.000000,2023-12-31,12,4,146192000.0,124522000.0,21670000.0,10154000.0,3748000.0,0.0,7768000.0,2673000.0,5095000.0,62750000.0,93796000.0,0.08119521912350598,3.4851428121328354
16490352.000000,2023-12-31,12,4,965000.0,11163000.0,-10198000.0,0.0,10063000.0,5009000.0,-20261000.0,0.0,-20261000.0,271000000.0,0.0,-0.07476383763837638,-2099.58553314209
16090048.000000,2023-12-31,12,4,1417863000.0,1297415000.0,120448000.0,26471000.0,57876000.0,0.0,36101000.0,9315000.0,26786000.0,129119000.0,0.0,0.20745204036586404,1.889181137084961
15040022.000000,2023-12-31,12,4,9852300000.0,9223700000.0,628600000.0,45000000.0,47800000.0,0.0,535800000.0,136500000.0,399300000.0,270400000.0,0.0,1.4767011834319526,4.052860662341118
14094638.000000,2023-12-31,12,4,1834789000.0,1450847000.0,383941980.0,40417000.0,6948000.0,0.0,336577000.0,84649000.0,251928000.0,124468000.0,0.0,2.02403830703474,13.730625808238983
14090282.000000,2023-12-31,12,4,2405632000.0,1995460000.0,410172000.0,143648000.0,103644000.0,0.0,162880000.0,26135000.0,136745000.0,265180992.0,0.0,0.5156666432562407,5.684368684887886
12070103.000000,2023-12-31,12,4,1318675100.0,1193716000.0,124959000.0,24547000.0,53310000.0,0.0,47102000.0,11523000.0,35579000.0,205207008.0,0.0,0.17338101825450328,2.6980869472026825
10670032.000000,2023-12-31,12,4,1069780030.0,988519940.0,81260000.0,107417000.0,67402000.0,-21728000.0,-115287000.0,-22878000.0,-92409000.0,59725000.0,0.0,-1.5472415236500627,-8.638130873441696
11250727.000000,2023-12-31,12,4,1294766000.0,1135712000.0,159054000.0,10495000.0,3316000.0,0.0,145243000.0,43351000.0,101892000.0,348880992.0,0.0,0.2920537442177417,7.869530469179153
14060276.000000,2023-12-31,12,4,12856000.0,6055000.0,6801000.0,1760000.0,4000.0,0.0,5037000.0,2573000.0,2464000.0,30001000.0,0.0,0.08213059564681177,19.166147708892822
14550007.000000,2023-12-31,12,4,498837980.0,418410020.0,80428000.0,24685000.0,5378000.0,0.0,50365000.0,1737000.0,48628000.0,47131000.0,0.0,1.0317625342131507,9.748255461454391
14093690.000000,2023-12-31,12,4,23680000.0,16775000.0,6905000.0,0.0,177000.0,0.0,6728000.0,1901000.0,4827000.0,100382000.0,22482000.0,0.04808631029467434,20.38429081439972
14060296.000000,2023-12-31,12,4,15464000.0,15295000.0,169000.0,3722000.0,572000.0,0.0,-5433000.0,0.0,-5433000.0,36000000.0,0.0,-0.15091666666666667,-35.13321280479431
14060461.000000,2023-12-31,12,4,14894000.0,4834000.0,10060000.0,0.0,387000.0,0.0,9673000.0,2502000.0,7171000.0,42506000.0,0.0,0.16870559450430528,48.14690351486206
12080038.000000,2023-12-31,12,4,3651940.0,7707365.0,-4055425.0,1422250.0,13067157.0,0.0,-18545112.0,0.0,-18545112.0,757699968.0,0.0,-0.02447553488612527,-507.8153610229492
14520006.000000,2023-12-31,12,4,1022997950.0,928971000.0,94027000.0,378000.0,71417000.0,0.0,22232000.0,-22989000.0,45221000.0,163950000.0,0.0,0.27582189691979264,4.420438781380653
14090173.000000,2023-12-31,12,4,1020965000.0,957943940.0,63021000.0,26506000.0,11216000.0,0.0,25299000.0,7642000.0,17657000.0,114360000.0,0.0,0.1543983910458202,1.7294421792030334
16570003.000000,2023-12-31,12,4,4481800000.0,76100000.0,4405700000.0,200000.0,200000.0,0.0,4405300000.0,1062900030.0,3342400000.0,323300000.0,0.0,10.338385400556758,74.57717657089233
14060215.000000,2023-12-31,12,4,88482000.0,85667000.0,2815000.0,1115000.0,3690000.0,0.0,-204790000.0,78369000.0,-283158980.0,183663008.0,246794000.0,-1.5417311253009642,-320.01874446868896
14010239.000000,2023-12-31,12,4,72604000.0,3302000.0,69302000.0,0.0,0.0,0.0,69302000.0,-103000.0,69405000.0,31948000.0,0.0,2.172436459246275,95.59390544891357
14010130.000000,2023-12-31,12,4,153533000.0,32799000.0,120734000.0,95568000.0,7327000.0,0.0,17839000.0,4814000.0,13025000.0,363356992.0,0.0,0.03584628970068092,8.483518660068512
11290426.000000,2023-12-31,9,3,667716000.0,553506940.0,114209000.0,2325000.0,11926000.0,0.0,99958000.0,29311000.0,70647000.0,112500000.0,0.0,0.6279733333333334,10.58039665222168
14090582.000000,2023-12-31,12,4,764641000.0,775771000.0,-11130000.0,5000.0,0.0,1639000.0,-9496000.0,3279000.0,-12775000.0,130209000.0,0.0,-0.09811149766913194,-1.670718565583229
14060457.000000,2023-12-31,12,4,4145000.0,2969000.0,1176000.0,0.0,42000.0,0.0,1134000.0,351000.0,783000.0,28647000.0,2011000.0,0.027332704995287466,18.890228867530823
12540257.000000,2023-12-31,12,4,673467000.0,620551040.0,52916000.0,35335000.0,6812000.0,0.0,10769000.0,-8812000.0,19581000.0,111107000.0,0.0,0.17623552071426643,2.907492034137249
14094125.000000,2023-12-31,12,4,37274030.0,5209050.0,32064980.0,4265740.0,0.0,0.0,27799240.0,3161550.0,24637690.0,100286800.0,0.0,0.2456723118097297,66.09880328178406
15540045.000000,2023-12-31,12,4,0.0,714000.0,-714000.0,0.0,0.0,-1000000.0,-1714000.0,0.0,-1714000.0,58828000.0,0.0,-0.0291357856802883,
17020352.000000,2023-12-31,12,4,14059000.0,13751000.0,308000.0,0.0,364000.0,0.0,-56000.0,80000.0,-136000.0,70825000.0,0.0,-0.0019202259089304624,-0.9673519060015678
17010012.000000,2023-12-31,12,4,155805000.0,242210990.0,-86406000.0,61991000.0,2149000.0,629087000.0,-19646000.0,0.0,-19646000.0,62419000.0,0.0,-0.31474390810490394,-12.609352171421051
11520010.000000,2023-12-31,12,4,185000.0,49270000.0,-49085000.0,0.0,284924000.0,0.0,-334009000.0,23919000.0,-357928000.0,326100000.0,0.0,-1.0976019625881632,-193474.59716796875
13192671.000000,2023-12-31,12,4,95711704.0,155550600.0,-59838896.0,2410600.0,19941100.0,0.0,-82190600.0,6349800.0,-88540400.0,146284000.0,0.0,-0.6052637335593777,-92.50739216804504
10990003.000000,2023-12-31,12,4,269640000.0,93826000.0,175813980.0,2720000.0,44000.0,0.0,141950000.0,35626000.0,106324000.0,257440000.0,0.0,0.41300497203231823,39.43183422088623
14094765.000000,2023-12-31,12,4,2026417900.0,1730550000.0,295868000.0,59505000.0,231000.0,0.0,236132000.0,45617000.0,190515000.0,48028000.0,0.0,3.966748729907554,9.401565790176392
14090363.000000,2023-12-31,12,4,806024000.0,34968000.0,771056000.0,20155000.0,67000.0,0.0,749811000.0,108471000.0,641340000.0,10299000.0,0.0,62.27206835615108,79.56835627555847
14060369.000000,2023-12-31,12,4,5397000.0,2513000.0,2884000.0,0.0,8000.0,0.0,2876000.0,1059000.0,1817000.0,102037000.0,274872000.0,0.017807265991748093,33.66685211658478
14010195.000000,2023-12-31,12,4,456862980.0,131652000.0,325211000.0,1546000.0,3552000.0,0.0,320113020.0,37575000.0,282538020.0,96872000.0,2530820000.0,2.9166117763646873,61.84305548667908
14060350.000000,2023-12-31,12,4,8422000.0,2145000.0,6277000.0,0.0,35000.0,6664000.0,12906000.0,143000.0,12763000.0,40617000.0,0.0,0.31422803259718834,151.5435814857483
