CompanyName,ISIN,NSECode,BSECode,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth,EPS Rating,TTM1 EPS,TTM1 Sales,TTM2 EPS,TTM2 Sales,TTM3 EPS,TTM3 Sales
Bajaj Holdings & Investment Ltd.,INE118A01012,BAJAJHLDNG,500490.000000,10540002.000000,2023-12-31,3.000000,3.000000,1325000000.000000,360100000.000000,964900000.000000,5500000.000000,84700000.000000,0.000000,874700000.000000,205300000.000000,669400000.000000,669400000.000000,1112900000.000000,0.000000,0.601492,50.520755,False,27.334982,14.194605,1.114206,-8.520841,2400600000.000000,19.438778,90.793050,4.476499145299143,13.545127089476376,27.035830618892504,6.694102243165431,802.8010617458053,-10.802405993832622
Escorts Kubota Ltd.,INE042A01014,ESCORTS,500495.000000,10540004.000000,2023-12-31,3.000000,3.000000,24452100000.000000,20272500000.000000,4179600000.000000,31800000.000000,416400000.000000,0.000000,3731400000.000000,950100000.000000,2781300000.000000,2781300000.000000,1105000000.000000,0.000000,2.517014,11.374483,False,77.838048,2.609283,2.100995,167.701925,21543900000.000000,9.423775,5174.333381,87.70382010262865,11.701319537831079,-5.537728860650354,150.55635000030688,51000.217864923754,51381.04352118977
Hero MotoCorp Ltd.,INE158A01026,HEROMOTOCO,500182.000000,10540005.000000,2023-12-31,3.000000,3.000000,100314300000.000000,84029800000.000000,16284500000.000000,227400000.000000,1939200000.000000,0.000000,14117900000.000000,3649600000.000000,10468300000.000000,10468300000.000000,399800000.000000,0.000000,26.183842,10.435501,False,63.984921,20.856525,25.081811,41.890112,97411700000.000000,5.284678,18804.794398,42.31302127745279,11.392545444746515,93920.33743077624,474416203.9549296,-131.4200082772798,-99.99226929844428
TVS Motor Company Ltd.,INE494B01023,TVSMOTOR,532343.000000,10540010.000000,2023-12-31,3.000000,3.000000,101258200000.000000,86259700000.000000,14998500000.000000,4944400000.000000,2424200000.000000,0.000000,7629900000.000000,2406200000.000000,5223700000.000000,5223700000.000000,475100000.000000,0.000000,10.994948,5.158792,False,66.032039,25.396220,8.978531,9.629915,99837500000.000000,16.217685,49.312647,35.05258034776544,22.010699519230254,68.28339791695596,27.924100838748174,100.07802311959398,37.086026703894476
Atul Auto Ltd.,INE951D01028,ATULAUTO,531795.000000,10540017.000000,2023-09-30,3.000000,2.000000,1533100000.000000,1359700000.000000,173400000.000000,29600000.000000,45700000.000000,0.000000,98100000.000000,26800000.000000,71300000.000000,71300000.000000,138800000.000000,0.000000,0.513689,4.650708,False,4795.971422,23.916909,-0.722180,,600400000.000000,,997.402323,124.90721483304567,54.42148851017623,3.679369250985546,3.1329062047092946,,124419.34966094934
Bajaj Auto Ltd.,INE917I01010,BAJAJ-AUTO,532977.000000,10540026.000000,2023-12-31,3.000000,3.000000,125216600000.000000,97504300000.000000,27712300000.000000,121000000.000000,929100000.000000,0.000000,26662200000.000000,6336000000.000000,20326200000.000000,20326200000.000000,2831800000.000000,0.000000,7.177837,16.232832,False,37.912737,30.582632,6.489963,21.006111,112068400000.000000,6.361469,103.773432,22.413072219400686,18.71327711147907,5.443590195197005,4.762520991431382,841.7702291520006,6756.470159263455
Exide Industries Ltd.,INE302A01020,EXIDEIND,500086.000000,10550001.000000,2023-12-31,3.000000,3.000000,40050300000.000000,35479500000.000000,4570800000.000000,316500000.000000,1447000000.000000,0.000000,2807300000.000000,779500000.000000,2027800000.000000,2027800000.000000,850000000.000000,0.000000,2.385647,5.063133,False,2.284994,12.432625,3.177882,11.906537,44089100000.000000,13.726375,196.487073,12.21578462657634,9.068573406107706,4.878143079268277,-7.41649903132438,1890.0840259303725,39846.290232951585
JTEKT India Ltd.,INE643A01035,JTEKTINDIA,520057.000000,10560007.000000,2023-09-30,3.000000,2.000000,5860702000.000000,5237170000.000000,623532000.000000,12080000.000000,195773000.000000,0.000000,415679000.000000,114127000.000000,301552000.000000,301552000.000000,244480000.000000,0.000000,1.233442,5.145322,False,0.220347,2.263344,0.763232,19.945875,4810903000.000000,1.400113,52.877261,17.290214206052113,7.087120377819439,44.36567615631027,19.7193496152946,347.83817229890525,31233.75282850607
Rane Holdings Ltd.,INE384A01010,RANEHOLDIN,505800.000000,10580006.000000,2023-12-31,3.000000,3.000000,8413400000.000000,7468500000.000000,944900000.000000,182800000.000000,321000000.000000,0.000000,441100000.000000,107500000.000000,333600000.000000,333600000.000000,142800000.000000,0.000000,2.336134,3.965103,False,-12.898172,-7.126614,2.462885,252.404810,9305300000.000000,5.289778,96.113409,64.05249500028094,6.321825970500196,-26.49236738602065,-29.335169520216432,342.9480628010606,154.17033948160935
Rane (Madras) Ltd.,INE050H01012,RML,532661.000000,10580014.000000,2023-12-31,3.000000,3.000000,5224200000.000000,4740500000.000000,483700000.000000,146400000.000000,208500000.000000,0.000000,128800000.000000,37900000.000000,90900000.000000,90900000.000000,162700000.000000,0.000000,0.558697,1.739979,False,-61.661746,-14.736172,1.092194,35440.000000,6118800000.000000,1.871337,7333.353137,22.24080267558528,3.535248916540278,1230.7283753367603,36.99148328148748,48.67570482626801,2120.856276041874
Wheels India Ltd.,INE715A01015,WHEELS,590073.000000,10590002.000000,2023-12-31,3.000000,3.000000,12112400000.000000,11502400000.000000,610000000.000000,304400000.000000,213400000.000000,0.000000,92200000.000000,20100000.000000,72100000.000000,72100000.000000,244300000.000000,0.000000,0.295129,0.595258,False,-21.624699,11.121916,0.031109,-92.338899,12881700000.000000,8.311472,-13.067156,-32.29240894016382,7.650874656610947,-26.796383123675138,24.165362118434118,247.72563165729088,624450.9295660949
Steel Strips Wheels Ltd.,INE802C01033,SSWL,513262.000000,10590003.000000,2023-12-31,3.000000,3.000000,11119887000.000000,9936147000.000000,1183740000.000000,250799000.000000,225036000.000000,0.000000,707905000.000000,112555000.000000,595350000.000000,595350000.000000,156929000.000000,0.000000,3.793754,5.353921,False,35.670892,18.235942,3.348961,,11366804000.000000,,43.933094,122.66305316534844,114.45645440989685,,,,
UNO Minda Ltd.,INE405E01023,UNOMINDA,532539.000000,10600006.000000,2023-12-31,3.000000,3.000000,35308200000.000000,31433000000.000000,3875200000.000000,286400000.000000,1325600000.000000,0.000000,2263200000.000000,649100000.000000,1614100000.000000,1614100000.000000,1146400000.000000,0.000000,1.407973,4.571459,False,8.347056,20.940859,1.609788,20.042215,36302300000.000000,25.486705,129.227149,19.347915661587326,21.765991817952937,-23.496034918318774,32.14144876569826,1224.4412698412698,64284.03564365782
Federal-Mogul Goetze (India) Ltd.,INE529A01010,FMGOETZE,505744.000000,10610003.000000,2023-12-31,3.000000,3.000000,4245244000.000000,3671548000.000000,573696000.000000,12124000.000000,212996000.000000,0.000000,348576000.000000,92282000.000000,256294000.000000,256294000.000000,556321000.000000,0.000000,0.460694,6.037203,False,-0.920077,6.893464,0.600197,27.833844,4485890000.000000,3.538347,123.654218,30.129340177190805,7.1620662559863755,-85.16274802279982,-55.35014149576385,1262.6521177624368,6815.176637911403
Bosch Ltd.,INE323A01026,BOSCHLTD,500530.000000,10610013.000000,2023-12-31,3.000000,3.000000,43599000000.000000,36268000000.000000,7331000000.000000,39000000.000000,1173000000.000000,588000000.000000,6707000000.000000,1527000000.000000,5180000000.000000,5180000000.000000,295000000.000000,0.000000,17.559322,11.881006,False,62.433365,15.003561,33.861017,168.233083,42843000000.000000,12.413413,3070.505542,68.95850444653692,17.678633600677664,15074.170260660498,64132.68771218436,-111.49351362794675,-99.75452241465041
GNA Axles Ltd.,INE934S01014,GNA,540124.000000,10610046.000000,2023-12-31,3.000000,3.000000,3573070000.000000,3099088000.000000,473982000.000000,24964000.000000,128945000.000000,0.000000,320073000.000000,95411000.000000,224662000.000000,224662000.000000,429308000.000000,0.000000,0.523312,6.287646,False,-68.605701,-11.700984,0.642818,-58.668394,4049258000.000000,-3.580762,-37.617769,-32.857522265743526,35.21300300789257,-11.182560222585348,-12.184009191268295,-0.6918144433698681,379.51349895531735
Varroc Engineering Ltd.,INE665L01035,VARROC,541578.000000,10610049.000000,2023-12-31,3.000000,3.000000,18935160000.000000,17089960000.000000,1845200000.000000,495630000.000000,892740000.000000,0.000000,456830000.000000,-3131360000.000000,3588190000.000000,3588190000.000000,152790000.000000,0.000000,23.484456,18.949879,False,1621.036980,9.719240,3.119183,344.087068,18935500000.000000,2.544177,906.668037,1808.565470010378,6.378092414133338,-196.66395195231308,-52.30234122613125,104.06376913777564,36.26307906983087
Lumax Industries Ltd.,INE162B01018,LUMAXIND,517206.000000,10620002.000000,2023-12-31,3.000000,3.000000,6332445900.000000,5734833000.000000,597612900.000000,128305000.000000,235216000.000000,0.000000,234091900.000000,95409000.000000,138682900.000000,138682900.000000,93477000.000000,0.000000,1.483605,2.190037,False,-24.433783,9.040811,1.380457,-40.326206,6455082000.000000,3.445899,1132.144024,-44.337387375015894,10.465788030177572,154.2058797241872,31.317635671586608,11275.560619189748,-23.506605001773647
FIEM Industries Ltd.,INE737H01014,FIEMIND,532768.000000,10620029.000000,2023-12-31,3.000000,3.000000,4922445000.000000,4223948000.000000,698497000.000000,4057000.000000,145539000.000000,0.000000,548901000.000000,143852000.000000,405049000.000000,405049000.000000,131598000.000000,0.000000,3.077927,8.228614,False,26.897435,10.488153,3.304055,6.646669,5133639000.000000,-2.592911,18037.505436,47.87501184810352,31.581318142007714,90131.15088628394,52.678225465522154,-97.96065978607423,24.090463356501754
