Company,ISIN,NSECode,BSECode,Date,MFList
Asian Paints Ltd.,INE021A01026,ASIANPAINT,500820.000000,2020-02-03,False
Aster DM Healthcare Ltd.,INE914M01019,ASTERDM,540975.000000,2020-02-03,False
Astral Ltd.,INE006I01046,ASTRAL,532830.000000,2020-02-03,False
Atul Ltd.,INE100A01010,ATUL,500027.000000,2020-02-03,False
Aurobindo Pharma Ltd.,INE406A01037,AUROPHARMA,524804.000000,2020-02-03,False
Avanti Feeds Ltd.,INE871C01038,AVANTIFEED,512573.000000,2020-02-03,False
Avenue Supermarts Ltd.,INE192R01011,DMART,540376.000000,2020-02-03,False
Axis Bank Ltd.,INE238A01034,AXISBANK,532215.000000,2020-02-03,False
BEML Ltd.,INE258A01016,BEML,,2020-02-03,False
BLS International Services Ltd.,INE153T01027,BLS,540073.000000,2020-02-03,False
BSE Ltd.,INE118H01025,BSE,,2020-02-03,False
Bajaj Auto Ltd.,INE917I01010,BAJAJ-AUTO,532977.000000,2020-02-03,False
Bajaj Finance Ltd.,INE296A01024,BAJFINANCE,500034.000000,2020-02-03,False
Bajaj Finserv Ltd.,INE918I01026,BAJAJFINSV,532978.000000,2020-02-03,False
Bajaj Holdings & Investment Ltd.,INE118A01012,BAJAJHLDNG,500490.000000,2020-02-03,False
Balaji Amines Ltd.,INE050E01027,BALAMINES,530999.000000,2020-02-03,False
Balkrishna Industries Ltd.,INE787D01026,BALKRISIND,502355.000000,2020-02-03,False
Balrampur Chini Mills Ltd.,INE119A01028,BALRAMCHIN,500038.000000,2020-02-03,False
Bandhan Bank Ltd.,INE545U01014,BANDHANBNK,541153.000000,2020-02-03,False
Bank of Baroda,INE028A01039,BANKBARODA,532134.000000,2020-02-03,False
Bank of India,INE084A01016,BANKINDIA,532149.000000,2020-02-03,False
Bank of Maharashtra,INE457A01014,MAHABANK,532525.000000,2020-02-03,False
Bata India Ltd.,INE176A01028,BATAINDIA,500043.000000,2020-02-03,False
Bayer Cropscience Ltd.,INE462A01022,BAYERCROP,506285.000000,2020-02-03,False
Berger Paints India Ltd.,INE463A01038,BERGEPAINT,509480.000000,2020-02-03,False
Bharat Dynamics Ltd.,INE171Z01018,BDL,541143.000000,2020-02-03,False
Bharat Electronics Ltd.,INE263A01024,BEL,500049.000000,2020-02-03,False
Bharat Forge Ltd.,INE465A01025,BHARATFORG,500493.000000,2020-02-03,False
Bharat Heavy Electricals Ltd.,INE257A01026,BHEL,500103.000000,2020-02-03,False
Bharat Petroleum Corporation Ltd.,INE029A01011,BPCL,500547.000000,2020-02-03,False
Bharti Airtel Ltd.,INE397D01024,BHARTIARTL,532454.000000,2020-02-03,False
Bikaji Foods International Ltd.,INE00E101023,BIKAJI,543653.000000,2020-02-03,False
Biocon Ltd.,INE376G01013,BIOCON,532523.000000,2020-02-03,False
Birla Corporation Ltd.,INE340A01012,BIRLACORPN,500335.000000,2020-02-03,False
Birlasoft Ltd.,INE836A01035,BSOFT,532400.000000,2020-02-03,False
Blue Dart Express Ltd.,INE233B01017,BLUEDART,526612.000000,2020-02-03,False
Blue Star Ltd.,INE472A01039,BLUESTARCO,500067.000000,2020-02-03,False
Bombay Burmah Trading Corporation Ltd.,INE050A01025,BBTC,501425.000000,2020-02-03,False
Borosil Renewables Ltd.,INE666D01022,BORORENEW,502219.000000,2020-02-03,False
Bosch Ltd.,INE323A01026,BOSCHLTD,500530.000000,2020-02-03,False
Brigade Enterprises Ltd.,INE791I01019,BRIGADE,532929.000000,2020-02-03,False
Brightcom Group Ltd.,INE425B01027,BCG,,2020-02-03,False
Britannia Industries Ltd.,INE216A01030,BRITANNIA,500825.000000,2020-02-03,False
C.E. Info Systems Ltd.,INE0BV301023,MAPMYINDIA,543425.000000,2020-02-03,False
CCL Products (I) Ltd.,INE421D01022,CCL,519600.000000,2020-02-03,False
CESC Ltd.,INE486A01021,CESC,500084.000000,2020-02-03,False
CG Power and Industrial Solutions Ltd.,INE067A01029,CGPOWER,500093.000000,2020-02-03,False
CIE Automotive India Ltd.,INE536H01010,CIEINDIA,532756.000000,2020-02-03,False
CRISIL Ltd.,INE007A01025,CRISIL,500092.000000,2020-02-03,False
CSB Bank Ltd.,INE679A01013,CSBBANK,542867.000000,2020-02-03,False
Campus Activewear Ltd.,INE278Y01022,CAMPUS,543523.000000,2020-02-03,False
Can Fin Homes Ltd.,INE477A01020,CANFINHOME,511196.000000,2020-02-03,False
Canara Bank,INE476A01014,CANBK,532483.000000,2020-02-03,False
Capri Global Capital Ltd.,INE180C01026,CGCL,531595.000000,2020-02-03,False
Carborundum Universal Ltd.,INE120A01034,CARBORUNIV,513375.000000,2020-02-03,False
Castrol India Ltd.,INE172A01027,CASTROLIND,500870.000000,2020-02-03,False
Ceat Ltd.,INE482A01020,CEATLTD,500878.000000,2020-02-03,False
Central Bank of India,INE483A01010,CENTRALBK,532885.000000,2020-02-03,False
Central Depository Services (India) Ltd.,INE736A01011,CDSL,,2020-02-03,False
Century Plyboards (India) Ltd.,INE348B01021,CENTURYPLY,532548.000000,2020-02-03,False
Century Textile & Industries Ltd.,INE055A01016,CENTURYTEX,500040.000000,2020-02-03,False
Cera Sanitaryware Ltd,INE739E01017,CERA,532443.000000,2020-02-03,False
Chalet Hotels Ltd.,INE427F01016,CHALET,542399.000000,2020-02-03,False
Chambal Fertilizers & Chemicals Ltd.,INE085A01013,CHAMBLFERT,500085.000000,2020-02-03,False
Chemplast Sanmar Ltd.,INE488A01050,CHEMPLASTS,543336.000000,2020-02-03,False
Cholamandalam Financial Holdings Ltd.,INE149A01033,CHOLAHLDNG,504973.000000,2020-02-03,False
Cholamandalam Investment and Finance Company Ltd.,INE121A01024,CHOLAFIN,511243.000000,2020-02-03,False
Cipla Ltd.,INE059A01026,CIPLA,500087.000000,2020-02-03,False
City Union Bank Ltd.,INE491A01021,CUB,532210.000000,2020-02-03,False
Clean Science and Technology Ltd.,INE227W01023,CLEAN,543318.000000,2020-02-03,False
Coal India Ltd.,INE522F01014,COALINDIA,533278.000000,2020-02-03,False
Cochin Shipyard Ltd.,INE704P01025,COCHINSHIP,540678.000000,2020-02-03,False
Coforge Ltd.,INE591G01017,COFORGE,532541.000000,2020-02-03,False
Colgate Palmolive (India) Ltd.,INE259A01022,COLPAL,500830.000000,2020-02-03,False
Computer Age Management Services Ltd.,INE596I01012,CAMS,543232.000000,2020-02-03,False
Concord Biotech Ltd.,INE338H01029,CONCORDBIO,,2020-02-03,False
Container Corporation of India Ltd.,INE111A01025,CONCOR,531344.000000,2020-02-03,False
Coromandel International Ltd.,INE169A01031,COROMANDEL,506395.000000,2020-02-03,False
Craftsman Automation Ltd.,INE00LO01017,CRAFTSMAN,543276.000000,2020-02-03,False
CreditAccess Grameen Ltd.,INE741K01010,CREDITACC,541770.000000,2020-02-03,False
Crompton Greaves Consumer Electricals Ltd.,INE299U01018,CROMPTON,539876.000000,2020-02-03,False
Cummins India Ltd.,INE298A01020,CUMMINSIND,500480.000000,2020-02-03,False
Cyient Ltd.,INE136B01020,CYIENT,532175.000000,2020-02-03,False
DCM Shriram Ltd.,INE499A01024,DCMSHRIRAM,523367.000000,2020-02-03,False
DLF Ltd.,INE271C01023,DLF,532868.000000,2020-02-03,False
Dabur India Ltd.,INE016A01026,DABUR,500096.000000,2020-02-03,False
Dalmia Bharat Ltd.,INE00R701025,DALBHARAT,542216.000000,2020-02-03,False
Data Patterns (India) Ltd.,INE0IX101010,DATAPATTNS,543428.000000,2020-02-03,False
Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,DEEPAKFERT,500645.000000,2020-02-03,False
Deepak Nitrite Ltd.,INE288B01029,DEEPAKNTR,506401.000000,2020-02-03,False
Delhivery Ltd.,INE148O01028,DELHIVERY,543529.000000,2020-02-03,False
Delta Corp Ltd.,INE124G01033,DELTACORP,532848.000000,2020-02-03,False
Devyani International Ltd.,INE872J01023,DEVYANI,543330.000000,2020-02-03,False
Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,532488.000000,2020-02-03,False
Dixon Technologies (India) Ltd.,INE935N01020,DIXON,540699.000000,2020-02-03,False
Dr. Lal Path Labs Ltd.,INE600L01024,LALPATHLAB,539524.000000,2020-02-03,False
Dr. Reddy's Laboratories Ltd.,INE089A01023,DRREDDY,500124.000000,2020-02-03,False
E.I.D. Parry (India) Ltd.,INE126A01031,EIDPARRY,500125.000000,2020-02-03,False
EIH Ltd.,INE230A01023,EIHOTEL,500840.000000,2020-02-03,False
EPL Ltd.,INE255A01020,EPL,500135.000000,2020-02-03,False
Easy Trip Planners Ltd.,INE07O001026,EASEMYTRIP,543272.000000,2020-02-03,False
Eicher Motors Ltd.,INE066A01021,EICHERMOT,505200.000000,2020-02-03,False
Elgi Equipments Ltd.,INE285A01027,ELGIEQUIP,522074.000000,2020-02-03,False
Emami Ltd.,INE548C01032,EMAMILTD,531162.000000,2020-02-03,False
Endurance Technologies Ltd.,INE913H01037,ENDURANCE,540153.000000,2020-02-03,False
Engineers India Ltd.,INE510A01028,ENGINERSIN,532178.000000,2020-02-03,False
Epigral Ltd.,INE071N01016,EPIGRAL,,2020-02-03,False
Equitas Small Finance Bank Ltd.,INE063P01018,EQUITASBNK,543243.000000,2020-02-03,False
Eris Lifesciences Ltd.,INE406M01024,ERIS,540596.000000,2020-02-03,False
Escorts Kubota Ltd.,INE042A01014,ESCORTS,500495.000000,2020-02-03,False
Exide Industries Ltd.,INE302A01020,EXIDEIND,500086.000000,2020-02-03,False
FDC Ltd.,INE258B01022,FDC,531599.000000,2020-02-03,False
FSN E-Commerce Ventures Ltd.,INE388Y01029,NYKAA,543384.000000,2020-02-03,False
Federal Bank Ltd.,INE171A01029,FEDERALBNK,500469.000000,2020-02-03,False
Fertilisers and Chemicals Travancore Ltd.,INE188A01015,FACT,,2020-02-03,False
Fine Organic Industries Ltd.,INE686Y01026,FINEORG,541557.000000,2020-02-03,False
Finolex Cables Ltd.,INE235A01022,FINCABLES,500144.000000,2020-02-03,False
Finolex Industries Ltd.,INE183A01024,FINPIPE,500940.000000,2020-02-03,False
Firstsource Solutions Ltd.,INE684F01012,FSL,532809.000000,2020-02-03,False
Five-Star Business Finance Ltd.,INE128S01021,FIVESTAR,543663.000000,2020-02-03,False
Fortis Healthcare Ltd.,INE061F01013,FORTIS,532843.000000,2020-02-03,False
G R Infraprojects Ltd.,INE201P01022,GRINFRA,543317.000000,2020-02-03,False
GAIL (India) Ltd.,INE129A01019,GAIL,532155.000000,2020-02-03,False
GMM Pfaudler Ltd.,INE541A01023,GMMPFAUDLR,505255.000000,2020-02-03,False
GMR Airports Infrastructure Ltd.,INE776C01039,GMRINFRA,532754.000000,2020-02-03,False
Galaxy Surfactants Ltd.,INE600K01018,GALAXYSURF,540935.000000,2020-02-03,False
General Insurance Corporation of India,INE481Y01014,GICRE,540755.000000,2020-02-03,False
Gillette India Ltd.,INE322A01010,GILLETTE,507815.000000,2020-02-03,False
Gland Pharma Ltd.,INE068V01023,GLAND,543245.000000,2020-02-03,False
Glaxosmithkline Pharmaceuticals Ltd.,INE159A01016,GLAXO,500660.000000,2020-02-03,False
Glenmark Life Sciences Ltd.,INE03Q201024,GLS,,2020-02-03,False
Glenmark Pharmaceuticals Ltd.,INE935A01035,GLENMARK,532296.000000,2020-02-03,False
Global Health Ltd.,INE474Q01031,MEDANTA,543654.000000,2020-02-03,False
Go Fashion (India) Ltd.,INE0BJS01011,GOCOLORS,,2020-02-03,False
Godawari Power & Ispat Ltd.,INE177H01021,GPIL,,2020-02-03,False
Godfrey Phillips India Ltd.,INE260B01028,GODFRYPHLP,500163.000000,2020-02-03,False
Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,532424.000000,2020-02-03,False
Godrej Industries Ltd.,INE233A01035,GODREJIND,500164.000000,2020-02-03,False
Godrej Properties Ltd.,INE484J01027,GODREJPROP,533150.000000,2020-02-03,False
Granules India Ltd.,INE101D01020,GRANULES,532482.000000,2020-02-03,False
Graphite India Ltd.,INE371A01025,GRAPHITE,509488.000000,2020-02-03,False
Grasim Industries Ltd.,INE047A01021,GRASIM,500300.000000,2020-02-03,False
Great Eastern Shipping Co. Ltd.,INE017A01032,GESHIP,500620.000000,2020-02-03,False
Grindwell Norton Ltd.,INE536A01023,GRINDWELL,506076.000000,2020-02-03,False
Gujarat Alkalies & Chemicals Ltd.,INE186A01019,GUJALKALI,530001.000000,2020-02-03,False
Gujarat Ambuja Exports Ltd.,INE036B01030,GAEL,524226.000000,2020-02-03,False
Gujarat Fluorochemicals Ltd.,INE09N301011,FLUOROCHEM,542812.000000,2020-02-03,False
Gujarat Gas Ltd.,INE844O01030,GUJGASLTD,539336.000000,2020-02-03,False
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,INE113A01013,GNFC,500670.000000,2020-02-03,False
Gujarat Pipavav Port Ltd.,INE517F01014,GPPL,533248.000000,2020-02-03,False
Gujarat State Fertilizers & Chemicals Ltd.,INE026A01025,GSFC,500690.000000,2020-02-03,False
Gujarat State Petronet Ltd.,INE246F01010,GSPL,532702.000000,2020-02-03,False
H.E.G. Ltd.,INE545A01016,HEG,509631.000000,2020-02-03,False
HCL Technologies Ltd.,INE860A01027,HCLTECH,532281.000000,2020-02-03,False
HDFC Asset Management Company Ltd.,INE127D01025,HDFCAMC,541729.000000,2020-02-03,False
HDFC Bank Ltd.,INE040A01034,HDFCBANK,500180.000000,2020-02-03,False
HDFC Life Insurance Company Ltd.,INE795G01014,HDFCLIFE,540777.000000,2020-02-03,False
HFCL Ltd.,INE548A01028,HFCL,500183.000000,2020-02-03,False
HLE Glascoat Ltd.,INE461D01028,HLEGLAS,522215.000000,2020-02-03,False
Happiest Minds Technologies Ltd.,INE419U01012,HAPPSTMNDS,543227.000000,2020-02-03,False
Havells India Ltd.,INE176B01034,HAVELLS,517354.000000,2020-02-03,False
Hero MotoCorp Ltd.,INE158A01026,HEROMOTOCO,500182.000000,2020-02-03,False
Hindalco Industries Ltd.,INE038A01020,HINDALCO,500440.000000,2020-02-03,False
Hindustan Aeronautics Ltd.,INE066F01020,HAL,541154.000000,2020-02-03,False
Hindustan Copper Ltd.,INE531E01026,HINDCOPPER,513599.000000,2020-02-03,False
Hindustan Petroleum Corporation Ltd.,INE094A01015,HINDPETRO,500104.000000,2020-02-03,False
Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,500696.000000,2020-02-03,False
Hindustan Zinc Ltd.,INE267A01025,HINDZINC,500188.000000,2020-02-03,False
Hitachi Energy India Ltd.,INE07Y701011,POWERINDIA,543187.000000,2020-02-03,False
Home First Finance Company India Ltd.,INE481N01025,HOMEFIRST,543259.000000,2020-02-03,False
Honeywell Automation India Ltd.,INE671A01010,HONAUT,517174.000000,2020-02-03,False
Housing & Urban Development Corporation Ltd.,INE031A01017,HUDCO,540530.000000,2020-02-03,False
ICICI Bank Ltd.,INE090A01021,ICICIBANK,532174.000000,2020-02-03,False
ICICI Lombard General Insurance Company Ltd.,INE765G01017,ICICIGI,540716.000000,2020-02-03,False
ICICI Prudential Life Insurance Company Ltd.,INE726G01019,ICICIPRULI,540133.000000,2020-02-03,False
ICICI Securities Ltd.,INE763G01038,ISEC,541179.000000,2020-02-03,False
IDBI Bank Ltd.,INE008A01015,IDBI,500116.000000,2020-02-03,False
IDFC First Bank Ltd.,INE092T01019,IDFCFIRSTB,539437.000000,2020-02-03,False
IDFC Ltd.,INE043D01016,IDFC,532659.000000,2020-02-03,False
IIFL Finance Ltd.,INE530B01024,IIFL,532636.000000,2020-02-03,False
IRB Infrastructure Developers Ltd.,INE821I01022,IRB,532947.000000,2020-02-03,False
IRCON International Ltd.,INE962Y01021,IRCON,541956.000000,2020-02-03,False
ITC Ltd.,INE154A01025,ITC,500875.000000,2020-02-03,False
ITI Ltd.,INE248A01017,ITI,523610.000000,2020-02-03,False
India Cements Ltd.,INE383A01012,INDIACEM,530005.000000,2020-02-03,False
Indiabulls Housing Finance Ltd.,INE148I01020,IBULHSGFIN,535789.000000,2020-02-03,False
Indiamart Intermesh Ltd.,INE933S01016,INDIAMART,542726.000000,2020-02-03,False
Indian Bank,INE562A01011,INDIANB,532814.000000,2020-02-03,False
Indian Energy Exchange Ltd.,INE022Q01020,IEX,540750.000000,2020-02-03,False
Indian Hotels Co. Ltd.,INE053A01029,INDHOTEL,500850.000000,2020-02-03,False
Indian Oil Corporation Ltd.,INE242A01010,IOC,530965.000000,2020-02-03,False
Indian Overseas Bank,INE565A01014,IOB,532388.000000,2020-02-03,False
Indian Railway Catering And Tourism Corporation Ltd.,INE335Y01020,IRCTC,542830.000000,2020-02-03,False
Indian Railway Finance Corporation Ltd.,INE053F01010,IRFC,543257.000000,2020-02-03,False
Indigo Paints Ltd.,INE09VQ01012,INDIGOPNTS,543258.000000,2020-02-03,False
Indraprastha Gas Ltd.,INE203G01027,IGL,532514.000000,2020-02-03,False
Indus Towers Ltd.,INE121J01017,INDUSTOWER,534816.000000,2020-02-03,False
IndusInd Bank Ltd.,INE095A01012,INDUSINDBK,532187.000000,2020-02-03,False
Infibeam Avenues Ltd.,INE483S01020,INFIBEAM,539807.000000,2020-02-03,False
Info Edge (India) Ltd.,INE663F01024,NAUKRI,532777.000000,2020-02-03,False
Infosys Ltd.,INE009A01021,INFY,500209.000000,2020-02-03,False
Ingersoll Rand (India) Ltd.,INE177A01018,INGERRAND,500210.000000,2020-02-03,False
Intellect Design Arena Ltd.,INE306R01017,INTELLECT,538835.000000,2020-02-03,False
InterGlobe Aviation Ltd.,INE646L01027,INDIGO,539448.000000,2020-02-03,False
Ipca Laboratories Ltd.,INE571A01038,IPCALAB,524494.000000,2020-02-03,False
J.B. Chemicals & Pharmaceuticals Ltd.,INE572A01036,JBCHEPHARM,506943.000000,2020-02-03,False
J.K. Cement Ltd.,INE823G01014,JKCEMENT,532644.000000,2020-02-03,False
JBM Auto Ltd.,INE927D01044,JBMA,532605.000000,2020-02-03,False
JK Lakshmi Cement Ltd.,INE786A01032,JKLAKSHMI,500380.000000,2020-02-03,False
JK Paper Ltd.,INE789E01012,JKPAPER,532162.000000,2020-02-03,False
JM Financial Ltd.,INE780C01023,JMFINANCIL,523405.000000,2020-02-03,False
JSW Energy Ltd.,INE121E01018,JSWENERGY,533148.000000,2020-02-03,False
JSW Steel Ltd.,INE019A01038,JSWSTEEL,500228.000000,2020-02-03,False
Jamna Auto Industries Ltd.,INE039C01032,JAMNAAUTO,520051.000000,2020-02-03,False
Jindal Saw Ltd.,INE324A01024,JINDALSAW,500378.000000,2020-02-03,False
Jindal Stainless Ltd.,INE220G01021,JSL,532508.000000,2020-02-03,False
Jindal Steel & Power Ltd.,INE749A01030,JINDALSTEL,532286.000000,2020-02-03,False
Jubilant Foodworks Ltd.,INE797F01020,JUBLFOOD,533155.000000,2020-02-03,False
Jubilant Ingrevia Ltd.,INE0BY001018,JUBLINGREA,543271.000000,2020-02-03,False
Jubilant Pharmova Ltd.,INE700A01033,JUBLPHARMA,530019.000000,2020-02-03,False
Justdial Ltd.,INE599M01018,JUSTDIAL,535648.000000,2020-02-03,False
Jyothy Labs Ltd.,INE668F01031,JYOTHYLAB,532926.000000,2020-02-03,False
K.P.R. Mill Ltd.,INE930H01031,KPRMILL,532889.000000,2020-02-03,False
KEI Industries Ltd.,INE878B01027,KEI,517569.000000,2020-02-03,False
KNR Constructions Ltd.,INE634I01029,KNRCON,532942.000000,2020-02-03,False
KPIT Technologies Ltd.,INE04I401011,KPITTECH,542651.000000,2020-02-03,False
KRBL Ltd.,INE001B01026,KRBL,530813.000000,2020-02-03,False
KSB Ltd.,INE999A01015,KSB,500249.000000,2020-02-03,False
Kajaria Ceramics Ltd.,INE217B01036,KAJARIACER,500233.000000,2020-02-03,False
Kalpataru Projects International Ltd.,INE220B01022,KPIL,522287.000000,2020-02-03,False
Kalyan Jewellers India Ltd.,INE303R01014,KALYANKJIL,543278.000000,2020-02-03,False
Kansai Nerolac Paints Ltd.,INE531A01024,KANSAINER,500165.000000,2020-02-03,False
Karur Vysya Bank Ltd.,INE036D01028,KARURVYSYA,,2020-02-03,False
Kaynes Technology India Ltd.,INE918Z01012,KAYNES,543664.000000,2020-02-03,False
Kec International Ltd.,INE389H01022,KEC,532714.000000,2020-02-03,False
Kfin Technologies Ltd.,INE138Y01010,KFINTECH,,2020-02-03,False
Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,500247.000000,2020-02-03,False
Krishna Institute of Medical Sciences Ltd.,INE967H01017,KIMS,543308.000000,2020-02-03,False
L&T Finance Holdings Ltd.,INE498L01015,L&TFH,533519.000000,2020-02-03,False
L&T Technology Services Ltd.,INE010V01017,LTTS,540115.000000,2020-02-03,False
LIC Housing Finance Ltd.,INE115A01026,LICHSGFIN,500253.000000,2020-02-03,False
LTIMindtree Ltd.,INE214T01019,LTIM,540005.000000,2020-02-03,False
Lakshmi Machine Works Ltd.,INE269B01029,LAXMIMACH,500252.000000,2020-02-03,False
Larsen & Toubro Ltd.,INE018A01030,LT,500510.000000,2020-02-03,False
Latent View Analytics Ltd.,INE0I7C01011,LATENTVIEW,543398.000000,2020-02-03,False
Laurus Labs Ltd.,INE947Q01028,LAURUSLABS,540222.000000,2020-02-03,False
Laxmi Organic Industries Ltd.,INE576O01020,LXCHEM,543277.000000,2020-02-03,False
Lemon Tree Hotels Ltd.,INE970X01018,LEMONTREE,541233.000000,2020-02-03,False
Life Insurance Corporation of India,INE0J1Y01017,LICI,543526.000000,2020-02-03,False
Linde India Ltd.,INE473A01011,LINDEINDIA,523457.000000,2020-02-03,False
Lupin Ltd.,INE326A01037,LUPIN,500257.000000,2020-02-03,False
Lux Industries Ltd.,INE150G01020,LUXIND,,2020-02-03,False
MMTC Ltd.,INE123F01029,MMTC,513377.000000,2020-02-03,False
MRF Ltd.,INE883A01011,MRF,500290.000000,2020-02-03,False
MTAR Technologies Ltd.,INE864I01014,MTARTECH,,2020-02-03,False
Macrotech Developers Ltd.,INE670K01029,LODHA,543287.000000,2020-02-03,False
Mahanagar Gas Ltd.,INE002S01010,MGL,539957.000000,2020-02-03,False
Mahindra & Mahindra Financial Services Ltd.,INE774D01024,M&MFIN,532720.000000,2020-02-03,False
Mahindra & Mahindra Ltd.,INE101A01026,M&M,500520.000000,2020-02-03,False
Mahindra Holidays & Resorts India Ltd.,INE998I01010,MHRIL,533088.000000,2020-02-03,False
Mahindra Lifespace Developers Ltd.,INE813A01018,MAHLIFE,532313.000000,2020-02-03,False
Manappuram Finance Ltd.,INE522D01027,MANAPPURAM,531213.000000,2020-02-03,False
Mangalore Refinery & Petrochemicals Ltd.,INE103A01014,MRPL,500109.000000,2020-02-03,False
Mankind Pharma Ltd.,INE634S01028,MANKIND,543904.000000,2020-02-03,False
Marico Ltd.,INE196A01026,MARICO,531642.000000,2020-02-03,False
Maruti Suzuki India Ltd.,INE585B01010,MARUTI,532500.000000,2020-02-03,False
Mastek Ltd.,INE759A01021,MASTEK,523704.000000,2020-02-03,False
Max Financial Services Ltd.,INE180A01020,MFSL,500271.000000,2020-02-03,False
Max Healthcare Institute Ltd.,INE027H01010,MAXHEALTH,543220.000000,2020-02-03,False
Mazagoan Dock Shipbuilders Ltd.,INE249Z01012,MAZDOCK,543237.000000,2020-02-03,False
Medplus Health Services Ltd.,INE804L01022,MEDPLUS,543427.000000,2020-02-03,False
Metro Brands Ltd.,INE317I01021,METROBRAND,543426.000000,2020-02-03,False
Metropolis Healthcare Ltd.,INE112L01020,METROPOLIS,542650.000000,2020-02-03,False
Minda Corporation Ltd.,INE842C01021,MINDACORP,538962.000000,2020-02-03,False
Motherson Sumi Wiring India Ltd.,INE0FS801015,MSUMI,543498.000000,2020-02-03,False
Motilal Oswal Financial Services Ltd.,INE338I01027,MOTILALOFS,532892.000000,2020-02-03,False
MphasiS Ltd.,INE356A01018,MPHASIS,526299.000000,2020-02-03,False
Multi Commodity Exchange of India Ltd.,INE745G01035,MCX,534091.000000,2020-02-03,False
Muthoot Finance Ltd.,INE414G01012,MUTHOOTFIN,533398.000000,2020-02-03,False
NATCO Pharma Ltd.,INE987B01026,NATCOPHARM,524816.000000,2020-02-03,False
NBCC (India) Ltd.,INE095N01031,NBCC,534309.000000,2020-02-03,False
