CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode
Central Depository Services (India) Ltd.,INE736A01011,CDSL,,2020-02-03,False,2020-02-03,14010235.000000
Century Plyboards (India) Ltd.,INE348B01021,CENTURYPLY,532548,2020-02-03,False,2020-02-03,11570034.000000
Century Textiles & Industries Ltd.,INE055A01016,CENTURYTEX,500040,2020-02-03,False,2020-02-03,17010003.000000
Cera Sanitaryware Ltd.,INE739E01017,CERA,532443,2020-02-03,False,2020-02-03,11120054.000000
Chalet Hotels Ltd.,INE427F01016,CHALET,542399,2020-02-03,False,2020-02-03,16620536.000000
Chambal Fertilisers & Chemicals Ltd.,INE085A01013,CHAMBLFERT,500085,2020-02-03,False,2020-02-03,12100013.000000
Cholamandalam Financial Holdings Ltd.,INE149A01033,CHOLAHLDNG,504973,2020-02-03,False,2020-02-03,12590003.000000
Cholamandalam Investment & Finance Company Ltd.,INE121A01024,CHOLAFIN,511243,2020-02-03,False,2020-02-03,14060011.000000
Cipla Ltd.,INE059A01026,CIPLA,500087,2020-02-03,False,2020-02-03,12540010.000000
City Union Bank Ltd.,INE491A01021,CUB,532210,2020-02-03,False,2020-02-03,14030077.000000
Coal India Ltd.,INE522F01014,COALINDIA,533278,2020-02-03,False,2020-02-03,15110007.000000
Cochin Shipyard Ltd.,INE704P01025,COCHINSHIP,540678,2020-02-03,False,2020-02-03,16680006.000000
Coforge Ltd.,INE591G01017,COFORGE,532541,2020-02-03,False,2020-02-03,13190705.000000
Colgate-Palmolive (India) Ltd.,INE259A01022,COLPAL,500830,2020-02-03,False,2020-02-03,12520001.000000
Container Corporation of India Ltd.,INE111A01025,CONCOR,531344,2020-02-03,False,2020-02-03,17010061.000000
Coromandel International Ltd.,INE169A01031,COROMANDEL,506395,2020-02-03,False,2020-02-03,12100001.000000
CreditAccess Grameen Ltd.,INE741K01010,CREDITACC,541770,2020-02-03,False,2020-02-03,14011064.000000
Crompton Greaves Consumer Electricals Ltd.,INE299U01018,CROMPTON,539876,2020-02-03,False,2020-02-03,13150237.000000
Cummins India Ltd.,INE298A01020,CUMMINSIND,500480,2020-02-03,False,2020-02-03,13540003.000000
Cyient Ltd.,INE136B01020,CYIENT,532175,2020-02-03,False,2020-02-03,13190003.000000
DCM Shriram Ltd.,INE499A01024,DCMSHRIRAM,523367,2020-02-03,False,2020-02-03,17010024.000000
DLF Ltd.,INE271C01023,DLF,532868,2020-02-03,False,2020-02-03,13520062.000000
Dabur India Ltd.,INE016A01026,DABUR,500096,2020-02-03,False,2020-02-03,12540103.000000
Dalmia Bharat Ltd.,INE00R701025,DALBHARAT,542216,2020-02-03,False,2020-02-03,11510164.000000
Deepak Fertilisers & Petrochemicals Corporation Ltd.,INE501A01019,DEEPAKFERT,500645,2020-02-03,False,2020-02-03,12100002.000000
Deepak Nitrite Ltd.,INE288B01029,DEEPAKNTR,506401,2020-02-03,False,2020-02-03,12080004.000000
Delta Corp Ltd.,INE124G01033,DELTACORP,532848,2020-02-03,False,2020-02-03,15060001.010000
Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,532488,2020-02-03,False,2020-02-03,12540408.000000
Dixon Technologies (India) Ltd.,INE935N01020,DIXON,540699,2020-02-03,False,2020-02-03,12680028.000000
