Company,ISIN,NSECode,BSECode,Date,MFList
Easy Trip Planners Ltd.,INE07O001026,EASEMYTRIP,543272.000000,2024-02-01,False
Eicher Motors Ltd.,INE066A01021,EICHERMOT,505200.000000,2024-02-01,False
Elgi Equipments Ltd.,INE285A01027,ELGIEQUIP,522074.000000,2024-02-01,False
Emami Ltd.,INE548C01032,EMAMILTD,531162.000000,2024-02-01,False
Endurance Technologies Ltd.,INE913H01037,ENDURANCE,540153.000000,2024-02-01,False
Engineers India Ltd.,INE510A01028,ENGINERSIN,532178.000000,2024-02-01,False
Epigral Ltd.,INE071N01016,EPIGRAL,,2024-02-01,False
Equitas Small Finance Bank Ltd.,INE063P01018,EQUITASBNK,543243.000000,2024-02-01,False
Eris Lifesciences Ltd.,INE406M01024,ERIS,540596.000000,2024-02-01,False
Escorts Kubota Ltd.,INE042A01014,ESCORTS,500495.000000,2024-02-01,False
Exide Industries Ltd.,INE302A01020,EXIDEIND,500086.000000,2024-02-01,False
FDC Ltd.,INE258B01022,FDC,531599.000000,2024-02-01,False
FSN E-Commerce Ventures Ltd.,INE388Y01029,NYKAA,543384.000000,2024-02-01,False
Federal Bank Ltd.,INE171A01029,FEDERALBNK,500469.000000,2024-02-01,False
Fertilisers and Chemicals Travancore Ltd.,INE188A01015,FACT,,2024-02-01,False
Fine Organic Industries Ltd.,INE686Y01026,FINEORG,541557.000000,2024-02-01,False
Finolex Cables Ltd.,INE235A01022,FINCABLES,500144.000000,2024-02-01,False
Finolex Industries Ltd.,INE183A01024,FINPIPE,500940.000000,2024-02-01,False
Firstsource Solutions Ltd.,INE684F01012,FSL,532809.000000,2024-02-01,False
Five-Star Business Finance Ltd.,INE128S01021,FIVESTAR,543663.000000,2024-02-01,False
Fortis Healthcare Ltd.,INE061F01013,FORTIS,532843.000000,2024-02-01,False
G R Infraprojects Ltd.,INE201P01022,GRINFRA,543317.000000,2024-02-01,False
GAIL (India) Ltd.,INE129A01019,GAIL,532155.000000,2024-02-01,False
GMM Pfaudler Ltd.,INE541A01023,GMMPFAUDLR,505255.000000,2024-02-01,False
GMR Airports Infrastructure Ltd.,INE776C01039,GMRINFRA,532754.000000,2024-02-01,False
Galaxy Surfactants Ltd.,INE600K01018,GALAXYSURF,540935.000000,2024-02-01,False
General Insurance Corporation of India,INE481Y01014,GICRE,540755.000000,2024-02-01,False
Gillette India Ltd.,INE322A01010,GILLETTE,507815.000000,2024-02-01,False
Gland Pharma Ltd.,INE068V01023,GLAND,543245.000000,2024-02-01,False
Glaxosmithkline Pharmaceuticals Ltd.,INE159A01016,GLAXO,500660.000000,2024-02-01,False
Glenmark Life Sciences Ltd.,INE03Q201024,GLS,,2024-02-01,False
Glenmark Pharmaceuticals Ltd.,INE935A01035,GLENMARK,532296.000000,2024-02-01,False
Global Health Ltd.,INE474Q01031,MEDANTA,543654.000000,2024-02-01,False
Go Fashion (India) Ltd.,INE0BJS01011,GOCOLORS,,2024-02-01,False
Godawari Power & Ispat Ltd.,INE177H01021,GPIL,,2024-02-01,False
Godfrey Phillips India Ltd.,INE260B01028,GODFRYPHLP,500163.000000,2024-02-01,False
Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,532424.000000,2024-02-01,False
Godrej Industries Ltd.,INE233A01035,GODREJIND,500164.000000,2024-02-01,False
Godrej Properties Ltd.,INE484J01027,GODREJPROP,533150.000000,2024-02-01,False
Granules India Ltd.,INE101D01020,GRANULES,532482.000000,2024-02-01,False
Graphite India Ltd.,INE371A01025,GRAPHITE,509488.000000,2024-02-01,False
Grasim Industries Ltd.,INE047A01021,GRASIM,500300.000000,2024-02-01,False
Great Eastern Shipping Co. Ltd.,INE017A01032,GESHIP,500620.000000,2024-02-01,False
Grindwell Norton Ltd.,INE536A01023,GRINDWELL,506076.000000,2024-02-01,False
Gujarat Alkalies & Chemicals Ltd.,INE186A01019,GUJALKALI,530001.000000,2024-02-01,False
Gujarat Ambuja Exports Ltd.,INE036B01030,GAEL,524226.000000,2024-02-01,False
Gujarat Fluorochemicals Ltd.,INE09N301011,FLUOROCHEM,542812.000000,2024-02-01,False
Gujarat Gas Ltd.,INE844O01030,GUJGASLTD,539336.000000,2024-02-01,False
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,INE113A01013,GNFC,500670.000000,2024-02-01,False
Gujarat Pipavav Port Ltd.,INE517F01014,GPPL,533248.000000,2024-02-01,False
Gujarat State Fertilizers & Chemicals Ltd.,INE026A01025,GSFC,500690.000000,2024-02-01,False
Gujarat State Petronet Ltd.,INE246F01010,GSPL,532702.000000,2024-02-01,False
H.E.G. Ltd.,INE545A01016,HEG,509631.000000,2024-02-01,False
HCL Technologies Ltd.,INE860A01027,HCLTECH,532281.000000,2024-02-01,False
HDFC Asset Management Company Ltd.,INE127D01025,HDFCAMC,541729.000000,2024-02-01,False
HDFC Bank Ltd.,INE040A01034,HDFCBANK,500180.000000,2024-02-01,False
HDFC Life Insurance Company Ltd.,INE795G01014,HDFCLIFE,540777.000000,2024-02-01,False
HFCL Ltd.,INE548A01028,HFCL,500183.000000,2024-02-01,False
HLE Glascoat Ltd.,INE461D01028,HLEGLAS,522215.000000,2024-02-01,False
Happiest Minds Technologies Ltd.,INE419U01012,HAPPSTMNDS,543227.000000,2024-02-01,False
Havells India Ltd.,INE176B01034,HAVELLS,517354.000000,2024-02-01,False
Hero MotoCorp Ltd.,INE158A01026,HEROMOTOCO,500182.000000,2024-02-01,False
