CompanyName,ISIN,NSECode,BSECode,Date,MFList,CompanyCode,BTTDate
Britannia Industries Ltd.,INE216A01030,BRITANNIA,500825.000000,2024-02-01,True,11120001.000000,2024-02-01
C.E. Info Systems Ltd.,INE0BV301023,MAPMYINDIA,543425.000000,2024-02-01,True,13192895.000000,2024-02-01
CCL Products India Ltd.,INE421D01022,CCL,519600.000000,2024-02-01,True,11040106.000000,2024-02-01
CESC Ltd.,INE486A01021,CESC,500084.000000,2024-02-01,True,15130004.000000,2024-02-01
CG Power and Industrial Solutions Ltd.,INE067A01029,CGPOWER,500093.000000,2024-02-01,True,13150001.000000,2024-02-01
CIE Automotive India Ltd.,INE536H01010,CIEINDIA,532756.000000,2024-02-01,True,15510021.000000,2024-02-01
Crisil Ltd.,INE007A01025,CRISIL,500092.000000,2024-02-01,True,14010005.000000,2024-02-01
CSB Bank Ltd.,INE679A01013,CSBBANK,542867.000000,2024-02-01,True,14030033.000000,2024-02-01
Campus Activewear Ltd.,INE278Y01022,CAMPUS,543523.000000,2024-02-01,True,16690783.000000,2024-02-01
Can Fin Homes Ltd.,INE477A01020,CANFINHOME,511196.000000,2024-02-01,True,14080002.000000,2024-02-01
Canara Bank,INE476A01014,CANBK,532483.000000,2024-02-01,True,14030061.000000,2024-02-01
Capri Global Capital Ltd.,INE180C01026,CGCL,531595.000000,2024-02-01,True,14010124.000000,2024-02-01
Carborundum Universal Ltd.,INE120A01034,CARBORUNIV,513375.000000,2024-02-01,True,14550001.000000,2024-02-01
Castrol India Ltd.,INE172A01027,CASTROLIND,500870.000000,2024-02-01,True,13550003.000000,2024-02-01
Ceat Ltd.,INE482A01020,CEATLTD,500878.000000,2024-02-01,True,10680003.000000,2024-02-01
Central Bank of India,INE483A01010,CENTRALBK,532885.000000,2024-02-01,True,14030013.000000,2024-02-01
Central Depository Services (India) Ltd.,INE736A01011,CDSL,,2024-02-01,True,14010235.000000,2024-02-01
Century Plyboards (India) Ltd.,INE348B01021,CENTURYPLY,532548.000000,2024-02-01,True,11570034.000000,2024-02-01
Century Textiles & Industries Ltd.,INE055A01016,CENTURYTEX,500040.000000,2024-02-01,True,17010003.000000,2024-02-01
Cera Sanitaryware Ltd.,INE739E01017,CERA,532443.000000,2024-02-01,True,11120054.000000,2024-02-01
Chalet Hotels Ltd.,INE427F01016,CHALET,542399.000000,2024-02-01,True,16620536.000000,2024-02-01
Chambal Fertilisers & Chemicals Ltd.,INE085A01013,CHAMBLFERT,500085.000000,2024-02-01,True,12100013.000000,2024-02-01
Chemplast Sanmar Ltd.,INE488A01050,CHEMPLASTS,543336.000000,2024-02-01,True,12130016.000000,2024-02-01
Cholamandalam Financial Holdings Ltd.,INE149A01033,CHOLAHLDNG,504973.000000,2024-02-01,True,12590003.000000,2024-02-01
Cholamandalam Investment & Finance Company Ltd.,INE121A01024,CHOLAFIN,511243.000000,2024-02-01,True,14060011.000000,2024-02-01
Cipla Ltd.,INE059A01026,CIPLA,500087.000000,2024-02-01,True,12540010.000000,2024-02-01
City Union Bank Ltd.,INE491A01021,CUB,532210.000000,2024-02-01,True,14030077.000000,2024-02-01
Clean Science & Technology Ltd.,INE227W01023,CLEAN,543318.000000,2024-02-01,True,17029653.000000,2024-02-01
Coal India Ltd.,INE522F01014,COALINDIA,533278.000000,2024-02-01,True,15110007.000000,2024-02-01
Cochin Shipyard Ltd.,INE704P01025,COCHINSHIP,540678.000000,2024-02-01,True,16680006.000000,2024-02-01
Coforge Ltd.,INE591G01017,COFORGE,532541.000000,2024-02-01,True,13190705.000000,2024-02-01
Colgate-Palmolive (India) Ltd.,INE259A01022,COLPAL,500830.000000,2024-02-01,True,12520001.000000,2024-02-01
Computer Age Management Services Ltd.,INE596I01012,CAMS,543232.000000,2024-02-01,True,16690463.000000,2024-02-01
Concord Biotech Ltd.,INE338H01029,CONCORDBIO,543960.000000,2024-02-01,True,12540622.000000,2024-02-01
Container Corporation of India Ltd.,INE111A01025,CONCOR,531344.000000,2024-02-01,True,17010061.000000,2024-02-01
Coromandel International Ltd.,INE169A01031,COROMANDEL,506395.000000,2024-02-01,True,12100001.000000,2024-02-01
Craftsman Automation Ltd.,INE00LO01017,CRAFTSMAN,543276.000000,2024-02-01,True,13520879.000000,2024-02-01
CreditAccess Grameen Ltd.,INE741K01010,CREDITACC,541770.000000,2024-02-01,True,14011064.000000,2024-02-01
Crompton Greaves Consumer Electricals Ltd.,INE299U01018,CROMPTON,539876.000000,2024-02-01,True,13150237.000000,2024-02-01
Cummins India Ltd.,INE298A01020,CUMMINSIND,500480.000000,2024-02-01,True,13540003.000000,2024-02-01
Cyient Ltd.,INE136B01020,CYIENT,532175.000000,2024-02-01,True,13190003.000000,2024-02-01
DCM Shriram Ltd.,INE499A01024,DCMSHRIRAM,523367.000000,2024-02-01,True,17010024.000000,2024-02-01
DLF Ltd.,INE271C01023,DLF,532868.000000,2024-02-01,True,13520062.000000,2024-02-01
Dabur India Ltd.,INE016A01026,DABUR,500096.000000,2024-02-01,True,12540103.000000,2024-02-01
Dalmia Bharat Ltd.,INE00R701025,DALBHARAT,542216.000000,2024-02-01,True,11510164.000000,2024-02-01
