CompanyCode,CompanyName,ShortCompanyName,TickerName,ParentCompanyCode,PersonDescription,PersonName,ExecutiveDescription,ExecutiveName,BSECode,BSEGroup,NSECode,ISINCode,Sourcetype,IncorporationDate,FirstPublicIssueDate,Auditeddate,FaceValue,Marketlot,IndustryCode,IndustryName,BusinessGroupCode,BusinessGroupName,MajorSector,latestFinYear,ForemostFinYear,LatestHalfYear,ForemostHalfYear,LatestQtrYear,ForemostQtrYear,ModifiedDate
14570002.0,Triveni Glass Ltd.,Triveni Glass L.,TriveniGlass,0.0,Mr.,J K Agrawal,Mrs.,Sushma,502281.0,XT,,INE094C01011,A,1971-12-15,1994-10-07,,10.0,1.0,458,Glass & Glass Products,10514,Not Applicable,1,2103,8903,2203,8909,2206.0,9806.0,2022-08-01 07:20:04
14580002.0,Asahi India Glass Ltd.,Asahi India Glass,Asahi India,0.0,Mr.,B M Labroo,Mr.,Gopal Ganatra,515030.0,A,ASAHIINDIA,INE439A01020,A,1984-12-10,,,1.0,1.0,458,Glass & Glass Products,11169,MNC Associate,1,2103,8809,2203,8903,2206.0,9806.0,2022-08-01 07:20:04
14590102.0,Raj Packaging Industries Ltd.,Raj Packaging In,RajPacka.Ind,0.0,Mr.,Prem Chand Kankaria,Ms.,Khushboo Joshi,530111.0,X,,INE639C01013,A,1987-06-18,1995-02-23,,10.0,1.0,229,Plastics - Sheets/Films,10514,Not Applicable,1,2103,9403,2203,9403,2206.0,9806.0,2022-08-01 07:20:04
14620003.0,Shree Rama Multi-Tech Ltd.,Shree Rama Multi,Shr.RamaMult,0.0,Mr.,Shailesh K Desai,Mr.,Sandip Mistry,532310.0,B,SHREERAMA,INE879A01019,A,1993-12-17,2000-02-04,,5.0,1.0,462,Packaging & Containers,10404,Rama Group,1,2103,9509,2203,9803,2206.0,9812.0,2022-08-01 07:20:04
15050048.0,Aksh Optifibre Ltd.,Aksh Optifibre,AkshOptifibr,0.0,Dr.,Kailash S Choudhari,Mr.,Gaurav Mehta,532351.0,B,AKSHOPTFBR,INE523B01011,A,1986-03-19,2000-07-18,,5.0,1.0,506,Cables - Telecom,10514,Not Applicable,1,2103,9903,2203,9909,2206.0,9906.0,2022-08-01 07:20:04
15070013.0,Golkunda Diamonds & Jewellery Ltd.,Golkunda Diamond,GolkndaDiamn,0.0,Mr.,Arvind Dadha,Ms.,Kopal Jain,523676.0,X,,INE798D01015,A,1990-10-30,1992-10-12,,10.0,1.0,507,Diamond Cutting/Precious Metals/Jewellery,10514,Not Applicable,1,2203,9103,2203,9209,2206.0,9806.0,2022-08-01 07:20:04
15070047.0,Asian Star Company Ltd.,Asian Star Co,AsianStarCo,0.0,Mr.,Vipul P Shah,Mrs.,Sujata Nadgouda,531847.0,B,,INE194D01017,A,1995-03-02,1996-05-13,,10.0,1.0,507,Diamond Cutting/Precious Metals/Jewellery,10514,Not Applicable,1,2103,9503,2203,9509,2206.0,9806.0,2022-08-01 07:20:04
15210029.0,GMR Infrastructure Ltd.,GMR Infrastructure L,GMR Infra,0.0,Mr.,G M Rao,Mr.,T Venkat Ramana,532754.0,A,GMRINFRA,INE776C01039,A,1996-05-10,2006-07-31,,1.0,1.0,521,Infrastructure - General,11000,GMR Group,1,2103,103,2203,603,2206.0,609.0,2022-08-01 07:20:04
15210565.0,Crane Infrastructure Ltd.,Crane Infrastructure,Crane Infra,0.0,,,Mrs.,Madhuri Arora,538770.0,X,,INE176L01017,A,2008-05-13,,,10.0,1.0,521,Infrastructure - General,10514,Not Applicable,1,2103,1203,2203,1203,2206.0,1403.0,2022-08-01 07:20:04
15520012.0,India Steel Works Ltd.,India Steel Works Lt,India Steel,0.0,Mr.,Sudhir H Gupta,Mr.,Dilipkumar Bhimsen Maharana,513361.0,X,,INE072A01029,A,1987-04-15,1992-04-08,,1.0,1.0,563,Steel - Bright Bars,10514,Not Applicable,1,2103,9103,2203,9109,2203.0,9806.0,2022-08-01 07:20:04
15600055.0,ISMT Ltd.,ISMT Ltd.,ISMT Ltd,15620002.0,Mr.,Nishikant Ektare,Mr.,Chetan Manohar Nathani,532479.0,B,ISMTLTD,INE732F01019,A,1999-09-01,,,5.0,1.0,560,Steel - Rolling,10062,Indian Seamless,1,2203,203,2203,209,2206.0,212.0,2022-08-01 07:20:04
15620015.0,Sarda Energy & Minerals Ltd.,Sarda Energy & Miner,Sarda Energy,0.0,Mr.,K K Sarda,Mr.,Manish Sethi,504614.0,A,SARDAEN,INE385C01013,A,1973-06-23,,,10.0,1.0,556,Steel - Sponge Iron,10514,Not Applicable,1,2103,9003,2203,9209,2206.0,9806.0,2022-08-01 07:20:04
16010027.0,Mafatlal Industries Ltd.,Mafatlal Ind,Mftlal Inds,0.0,Mr.,P H Mafatlal,Mr.,Amish Shah,500264.0,X,,INE270B01027,A,1913-01-20,,,10.0,1.0,601,Textiles - Composite Mills,10094,Arvind Mafatlal Group,1,2203,8903,2203,8909,2206.0,9706.0,2022-08-01 07:20:04
16020136.0,M K Exim (India) Ltd.,M K Exim (India) L,MK Exim,0.0,Mr.,Murli Wadhumal Dialani,Ms.,Prakriti Sethi,538890.0,X,,INE227F01010,A,1992-12-31,,,10.0,1.0,602,Textiles - Processing/Texturising,10514,Not Applicable,1,2103,9903,2203,9803,2206.0,9812.0,2022-08-01 07:20:04
16030022.0,Suryalakshmi Cotton Mills Ltd.,Suryalakshmi Cot,SurylakCottM,0.0,Mr.,L N Agarwal,Mr.,E V S V  Sarma,521200.0,B,SURYALAXMI,INE713B01026,A,1962-08-13,1996-09-27,,10.0,1.0,603,Textiles - Spinning - Cotton Blended,10088,L N Agarwal Group,1,2103,9003,2203,8909,2206.0,9806.0,2022-08-01 07:20:04
16030111.0,Pranavaditya Spinning Mills Ltd.,Pranavaditya Spi,PranvaSpngMl,16030008.0,,,Mrs.,Amruta Avasare,531172.0,X,,INE569D01028,A,1990-09-12,1995-07-25,,10.0,1.0,603,Textiles - Spinning - Cotton Blended,10514,Not Applicable,1,2203,9303,2203,9409,2206.0,9706.0,2022-08-01 07:20:04
16030147.0,Padam Cotton Yarns Ltd.,Padam Cotton Yar,PadamCotton,0.0,Mr.,Rajev Gupta,Ms.,Neelu Prajapati,531395.0,XT,,INE448D01017,A,1994-11-02,1995-11-14,,10.0,1.0,603,Textiles - Spinning - Cotton Blended,10514,Not Applicable,1,2103,9603,2203,9703,2206.0,9706.0,2022-08-01 07:20:04
